window,event,event_label,asset,model,CAR,p_BMP,p_block,label
17,russia_ukraine_invasion,러-우 전쟁,TLT,MM(SP500),-0.0705,0.3591,0.1912,Non-Sig
17,russia_ukraine_invasion,러-우 전쟁,DXY,CMRM,-0.0003,0.9922,0.9886,Non-Sig
17,russia_ukraine_invasion,러-우 전쟁,NASDAQ,MM(SP500),0.0219,0.5634,0.3588,Non-Sig
17,israel_hamas,이스라엘-하마스,BTC,MM(NASDAQ),0.3277,0.0115,0.0068,Safe Haven
17,israel_hamas,이스라엘-하마스,Gold,CMRM,0.0464,0.364,0.1602,Non-Sig
17,israel_hamas,이스라엘-하마스,TLT,MM(SP500),-0.0653,0.4369,0.1782,Non-Sig
17,israel_hamas,이스라엘-하마스,DXY,CMRM,0.0145,0.4772,0.556,Non-Sig
17,israel_hamas,이스라엘-하마스,NASDAQ,MM(SP500),-0.0031,0.8775,0.9042,Non-Sig
17,israel_iran,이스라엘-이란 충돌,BTC,MM(NASDAQ),-0.1625,0.4245,0.276,Non-Sig
17,israel_iran,이스라엘-이란 충돌,Gold,CMRM,0.0467,0.3696,0.3306,Non-Sig
17,israel_iran,이스라엘-이란 충돌,TLT,MM(SP500),-0.0749,0.1553,0.1884,Non-Sig
17,israel_iran,이스라엘-이란 충돌,DXY,CMRM,0.028,0.1798,0.199,Non-Sig
17,israel_iran,이스라엘-이란 충돌,NASDAQ,MM(SP500),0.0007,0.9711,0.9706,Non-Sig
17,us_israel_iran,미-이스라엘-이란,BTC,MM(NASDAQ),0.0557,0.7713,0.5904,Non-Sig
17,us_israel_iran,미-이스라엘-이란,Gold,CMRM,-0.1878,0.1381,0.0126,Marginal
17,us_israel_iran,미-이스라엘-이란,TLT,MM(SP500),0.0074,0.8646,0.809,Non-Sig
17,us_israel_iran,미-이스라엘-이란,DXY,CMRM,0.0197,0.4408,0.2608,Non-Sig
17,us_israel_iran,미-이스라엘-이란,NASDAQ,MM(SP500),0.0094,0.5743,0.4988,Non-Sig
