범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,BW,방법,p_bh,sig_bh
이벤트별,호르무즈 위기,Gold+GPR+IA,0.5,Gold_x_GPR,-0.00085,0.00305,0.7822,182,91.0,4,HAC+IA(bw=4),0.9214117647058824,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.75,Gold_z,0.01202,0.00721,0.0974,182,136.5,4,HAC+IA(bw=4),0.2880845070422535,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.75,GPR_custom_z,0.0141,0.00583,0.0166,182,136.5,4,HAC+IA(bw=4),0.0806590909090909,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.75,Gold_x_GPR,0.00156,0.00733,0.8315,182,136.5,4,HAC+IA(bw=4),0.9489945652173913,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.9,Gold_z,0.02923,0.00973,0.003,182,163.8,4,HAC+IA(bw=4),0.021724137931034483,True
이벤트별,호르무즈 위기,Gold+GPR+IA,0.9,GPR_custom_z,0.01912,0.01098,0.0832,182,163.8,4,HAC+IA(bw=4),0.25848529411764704,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.9,Gold_x_GPR,-0.00462,0.01138,0.6855,182,163.8,4,HAC+IA(bw=4),0.8935727554179568,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.95,Gold_z,0.03369,0.0125,0.0077,182,172.9,4,HAC+IA(bw=4),0.044301369863013695,True
이벤트별,호르무즈 위기,Gold+GPR+IA,0.95,GPR_custom_z,0.02825,0.01526,0.0658,182,172.9,4,HAC+IA(bw=4),0.21423255813953487,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.95,Gold_x_GPR,0.00772,0.02264,0.7336,182,172.9,4,HAC+IA(bw=4),0.9088849557522125,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.01,SP500_z,0.0245,0.00736,0.001,339,3.4,5,HAC+IA(bw=5),0.008936170212765958,True
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.01,GPR_custom_z,-0.02336,0.02446,0.3402,339,3.4,5,HAC+IA(bw=5),0.6160588235294118,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.01,SP500_x_GPR,0.00931,0.00517,0.0725,339,3.4,5,HAC+IA(bw=5),0.23068181818181818,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.025,SP500_z,0.02095,0.00608,0.0006,339,8.5,5,HAC+IA(bw=5),0.0057272727272727275,True
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.025,GPR_custom_z,-0.03993,0.02827,0.1588,339,8.5,5,HAC+IA(bw=5),0.39003508771929823,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.025,SP500_x_GPR,0.01163,0.00484,0.0168,339,8.5,5,HAC+IA(bw=5),0.0806590909090909,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.05,SP500_z,0.01415,0.00282,0.0,339,16.9,5,HAC+IA(bw=5),0.0,True
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.05,GPR_custom_z,-0.00187,0.00907,0.8368,339,16.9,5,HAC+IA(bw=5),0.9498031914893617,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.05,SP500_x_GPR,0.00723,0.0056,0.1978,339,16.9,5,HAC+IA(bw=5),0.45646153846153853,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.1,SP500_z,0.01204,0.0022,0.0,339,33.9,5,HAC+IA(bw=5),0.0,True
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.1,GPR_custom_z,-0.00375,0.00825,0.6498,339,33.9,5,HAC+IA(bw=5),0.8699617834394905,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.1,SP500_x_GPR,0.00765,0.0061,0.2108,339,33.9,5,HAC+IA(bw=5),0.4685625,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.2,SP500_z,0.00903,0.00202,0.0,339,67.8,5,HAC+IA(bw=5),0.0,True
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.2,GPR_custom_z,-0.00425,0.00629,0.4995,339,67.8,5,HAC+IA(bw=5),0.7811070110701107,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.2,SP500_x_GPR,0.00561,0.00822,0.4951,339,67.8,5,HAC+IA(bw=5),0.7811070110701107,False
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.25,SP500_z,0.00844,0.00225,0.0002,339,84.8,5,HAC+IA(bw=5),0.002048780487804878,True
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.25,GPR_custom_z,-0.00214,0.005,0.6684,339,84.8,5,HAC+IA(bw=5),0.8827924528301887,False
